,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,Churned,Travel_Rarely,1102,Sales,1,College,Life Sciences,1,1,Good,Female,94,Great,2,Sales Executive,Excellent,Single,5993,19479,8,Y,Yes,11,Great,Low,80,0,8,0,Low,6,4,0,5
1,49,Stayed,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,1,2,Great,Male,61,Good,2,Research Scientist,Good,Married,5130,24907,1,Y,No,23,Excellent,Excellent,80,1,10,3,Great,10,7,1,7
2,37,Churned,Travel_Rarely,1373,Research & Development,2,College,Other,1,4,Excellent,Male,92,Good,1,Laboratory Technician,Great,Single,2090,2396,6,Y,Yes,15,Great,Good,80,0,7,3,Great,0,0,0,0
3,33,Stayed,Travel_Frequently,1392,Research & Development,3,Master's degree,Life Sciences,1,5,Excellent,Female,56,Great,1,Research Scientist,Great,Married,2909,23159,1,Y,Yes,11,Great,Great,80,0,8,3,Great,8,7,3,0
4,27,Stayed,Travel_Rarely,591,Research & Development,2,Below College,Medical,1,7,Low,Male,40,Great,1,Laboratory Technician,Good,Married,3468,16632,9,Y,No,12,Great,Excellent,80,1,6,3,Great,2,2,2,2
5,32,Stayed,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,1,8,Excellent,Male,79,Great,1,Laboratory Technician,Excellent,Single,3068,11864,0,Y,No,13,Great,Great,80,0,8,2,Good,7,7,3,6
6,59,Stayed,Travel_Rarely,1324,Research & Development,3,Bachelor's degree,Medical,1,10,Great,Female,81,Excellent,1,Laboratory Technician,Low,Married,2670,9964,4,Y,Yes,20,Excellent,Low,80,3,12,3,Good,1,0,0,0
7,30,Stayed,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,1,11,Excellent,Male,67,Great,1,Laboratory Technician,Great,Divorced,2693,13335,1,Y,No,22,Excellent,Good,80,1,1,2,Great,1,0,0,0
8,38,Stayed,Travel_Frequently,216,Research & Development,23,Bachelor's degree,Life Sciences,1,12,Excellent,Male,44,Good,3,Manufacturing Director,Great,Single,9526,8787,0,Y,No,21,Excellent,Good,80,0,10,2,Great,9,7,1,8
9,36,Stayed,Travel_Rarely,1299,Research & Development,27,Bachelor's degree,Medical,1,13,Great,Male,94,Great,2,Healthcare Representative,Great,Married,5237,16577,6,Y,No,13,Great,Good,80,2,17,3,Good,7,7,7,7
