,Age,Attrition,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MonthlyIncome,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,WorkLifeBalance,YearsAtCompany,raise_category
0,41,Churned,1,College,Life Sciences,Good,Female,Great,Excellent,5993,11,Great,Low,80,Low,6,10-15%
1,49,Stayed,8,Below College,Life Sciences,Great,Male,Good,Good,5130,23,Excellent,Excellent,80,Great,10,20-25%
2,37,Churned,2,College,Other,Excellent,Male,Good,Great,2090,15,Great,Good,80,Great,0,10-15%
3,33,Stayed,3,Master's degree,Life Sciences,Excellent,Female,Great,Great,2909,11,Great,Great,80,Great,8,10-15%
4,27,Stayed,2,Below College,Medical,Low,Male,Great,Good,3468,12,Great,Excellent,80,Great,2,10-15%
5,32,Stayed,2,College,Life Sciences,Excellent,Male,Great,Excellent,3068,13,Great,Great,80,Good,7,10-15%
6,59,Stayed,3,Bachelor's degree,Medical,Great,Female,Excellent,Low,2670,20,Excellent,Low,80,Good,1,15-20%
7,30,Stayed,24,Below College,Life Sciences,Excellent,Male,Great,Great,2693,22,Excellent,Good,80,Great,1,20-25%
8,38,Stayed,23,Bachelor's degree,Life Sciences,Excellent,Male,Good,Great,9526,21,Excellent,Good,80,Great,9,20-25%
9,36,Stayed,27,Bachelor's degree,Medical,Great,Male,Great,Great,5237,13,Great,Good,80,Good,7,10-15%
10,35,Stayed,16,Bachelor's degree,Medical,Low,Male,Excellent,Good,2426,13,Great,Great,80,Great,5,10-15%
11,29,Stayed,15,College,Life Sciences,Excellent,Female,Good,Great,4193,12,Great,Excellent,80,Great,9,10-15%
12,31,Stayed,26,Below College,Life Sciences,Low,Male,Great,Great,2911,17,Great,Excellent,80,Good,5,15-20%
13,34,Stayed,19,College,Medical,Good,Male,Great,Excellent,2661,11,Great,Great,80,Great,2,10-15%
14,28,Churned,24,Bachelor's degree,Life Sciences,Great,Male,Good,Great,2028,14,Great,Good,80,Great,4,10-15%
15,29,Stayed,21,Master's degree,Life Sciences,Good,Female,Excellent,Low,9980,11,Great,Great,80,Great,10,10-15%
16,32,Stayed,5,College,Life Sciences,Low,Male,Excellent,Good,3298,12,Great,Excellent,80,Good,6,10-15%
17,22,Stayed,16,College,Medical,Excellent,Male,Excellent,Excellent,2935,13,Great,Good,80,Good,1,10-15%
18,53,Stayed,2,Master's degree,Life Sciences,Low,Female,Good,Excellent,15427,16,Great,Great,80,Great,25,15-20%
19,38,Stayed,2,Bachelor's degree,Life Sciences,Excellent,Male,Great,Excellent,3944,11,Great,Great,80,Great,3,10-15%
20,24,Stayed,11,College,Other,Low,Female,Excellent,Great,4011,18,Great,Excellent,80,Good,4,15-20%
21,36,Churned,9,Master's degree,Life Sciences,Great,Male,Good,Low,3407,23,Excellent,Good,80,Great,5,20-25%
22,34,Stayed,7,Master's degree,Life Sciences,Low,Female,Great,Good,11994,11,Great,Great,80,Great,12,10-15%
23,21,Stayed,15,College,Life Sciences,Great,Male,Great,Excellent,1232,14,Great,Excellent,80,Great,0,10-15%
24,34,Churned,6,Below College,Medical,Good,Male,Great,Low,2960,11,Great,Great,80,Great,4,10-15%
25,53,Stayed,5,Bachelor's degree,Other,Great,Female,Great,Great,19094,11,Great,Excellent,80,Good,14,10-15%
26,32,Churned,16,Below College,Life Sciences,Good,Female,Low,Low,3919,22,Excellent,Good,80,Great,10,20-25%
27,42,Stayed,8,Master's degree,Marketing,Great,Male,Great,Good,6825,11,Great,Excellent,80,Great,9,10-15%
28,44,Stayed,7,Master's degree,Medical,Low,Female,Good,Excellent,10248,14,Great,Excellent,80,Great,22,10-15%
29,46,Stayed,2,Master's degree,Marketing,Good,Female,Great,Low,18947,12,Great,Excellent,80,Good,2,10-15%
